"","CountryName","IC.LGL.CRED.XQ","rank.legal","VC.IHR.PSRC.P5","rank.homi","finalscore_security"
"161","St. Vincent and the Grenadines",5,10,25.51362,184,113
"162","Sudan",3,12,6.542221,122,76
"163","Suriname",2,13,9.280288,150,93
"164","Swaziland",4,11,17.43288,177,110
"165","Sweden",6,8,0.9166511,24,13
"166","Switzerland",6,8,0.7261854,15,8
"167","Syria",1,14,2.150223,64,40
"168","Tajikistan",1,14,1.462197,47,30
"169","Tanzania",5,10,8.193912,143,86
"170","Thailand",3,12,4.904347,114,71
"171","Timor-Leste",0,15,3.612951,93,60
"172","Togo",6,8,9.411765,153,91
"173","Tonga",10,3,0.9488389,27,11
"174","Trinidad and Tobago",7,7,30.2171,188,114
"175","Tunisia",2,13,3.067736,82,53
"176","Turkey",3,12,4.348625,105,64
"177","Uganda",6,8,10.52469,160,96
"178","Ukraine",8,6,4.317026,103,61
"179","United Arab Emirates",2,13,0.6136677,9,7
"180","United Kingdom",7,7,0.9571372,28,15
"181","United States of America",11,2,3.824631,97,55
"182","Uruguay",4,11,7.711195,133,80
"183","Uzbekistan",6,8,3.263962,85,51
"184","Vanuatu",10,3,2.845013,79,42
"185","Venezuela",1,14,53.61968,199,121
"186","Vietnam",7,7,1.511913,49,28
"187","Yemen",0,15,6.999206,126,78
"188","Zambia",7,7,6.158742,118,70
"189","Zimbabwe",5,10,7.530804,132,79
