"","CountryName","finalrank_eng1","finalrank_eng2","finalrank_eng3","score_eng","finalrank_eng"
"182","Sudan",82,39,19,46.6666666666667,44.5
"183","Suriname",1,105,203,103,150
"184","Swaziland",74,62,204,113.333333333333,170
"185","Sweden",1,54,21,25.3333333333333,4
"186","Switzerland",1,96,36,44.3333333333333,41
"187","Syria",25,166,124,105,155.5
"188","Tajikistan",1,41,23,21.6666666666667,2
"189","Tanzania",98,10,5,37.6666666666667,28
"190","Thailand",4,93,75,57.3333333333333,60
"191","Timor-Leste",71,210,205,162,211
"192","Togo",83,34,12,43,38
"193","Tonga",26,173,206,135,200
"194","Trinidad and Tobago",10,181,132,107.666666666667,162
"195","Tunisia",6,112,90,69.3333333333333,84
"196","Turkey",1,113,96,70,85
"197","Turkmenistan",1,211,207,139.666666666667,205
"198","Turks and Caicos Islands",32,178,208,139.333333333333,203.5
"199","Tuvalu",69,212,209,163.333333333333,212
"200","Uganda",95,5,210,103.333333333333,152
"201","Ukraine",3,161,74,79.3333333333333,101.5
"202","United Arab Emirates",23,184,131,112.666666666667,168.5
"203","United Kingdom",1,152,85,79.3333333333333,101.5
"204","United States of America",1,136,82,73,87
"205","Uruguay",12,51,39,34,16
"206","Uzbekistan",1,164,122,95.6666666666667,135
"207","Vanuatu",85,66,211,120.666666666667,180.5
"208","Venezuela",1,122,99,74,91
"209","Vietnam",19,68,53,46.6666666666667,44.5
"210","Virgin Islands (U.S.)",32,213,212,152.333333333333,210
"211","Yemen",67,175,123,121.666666666667,183
"212","Zambia",91,8,4,34.3333333333333,17
"213","Zimbabwe",73,31,17,40.3333333333333,30
