"","CountryName","finalrank_pop1","finalrank_pop2","finalrank_pop3","score_pop","finalrank_pop"
"173","St. Vincent and the Grenadines",177,142,107,142,188.5
"174","Sudan",43,103.5,164,103.5,119
"175","Suriname",6,63,120,63,31
"176","Swaziland",94,148.5,203,148.5,194
"177","Sweden",44,11,14,23,5
"178","Switzerland",162,29,5,65.3333333333333,36.5
"179","Syrian Arab Republic",134,106,78,106,123.5
"180","Tajikistan",81,106.5,132,106.5,125
"181","Tanzania",80,59,158,99,111
"182","Thailand",141,64,88,97.6666666666667,107
"183","Timor-Leste",106,125.5,145,125.5,168
"184","Togo",140,84,181,135,180.5
"185","Tonga",147,128,109,128,172
"186","Trinidad and Tobago",174,149.5,125,149.5,195
"187","Tunisia",91,51,100,80.6666666666667,77
"188","Turkey",121,67,72,86.6666666666667,87.5
"189","Turkmenistan",19,86,153,86,84
"190","Uganda",155,76,185,138.666666666667,187
"191","Ukraine",101,1,117,73,50
"192","United Arab Emirates",127,88.5,50,88.5,92.5
"193","United Kingdom",175,33,23,77,62.5
"194","United States",57,70,42,56.3333333333333,19
"195","Uruguay",38,72,55,55,17
"196","Uzbekistan",93,116,139,116,141.5
"197","Vanuatu",42,57,113,70.6666666666667,45
"198","Venezuela, RB",56,75.5,95,75.5,59
"199","Vietnam",178,63,65,102,116.5
"200","Virgin Islands (U.S.)",181,109,37,109,131
"201","Yemen, Rep.",75,117.5,160,117.5,145
"202","Zambia",41,101,180,107.333333333333,127
"203","Zimbabwe",62,126,190,126,170
