"","CountryName","mean_CO2","finalrank_emission"
"189","Turks and Caicos Islands",6.0813175,145
"190","Uganda",0.10959195,13
"191","Ukraine",6.450252,149
"192","United Arab Emirates",20.2774,196
"193","United Kingdom",7.4636925,159
"194","United States",17.252505,192
"195","Uruguay",2.104403,90
"196","Uzbekistan",3.8040945,115
"197","Vanuatu",0.5439285,43
"198","Venezuela, RB",6.614045,152
"199","Vietnam",1.866792,86
"200","Yemen, Rep.",1.0050138,60
"201","Zambia",0.20226415,23
"202","Zimbabwe",0.6688853,49
