"","CountryName","rank_gen","score_gen","finalrank_gen"
"181","United Arab Emirates",97,97,104
"182","United Kingdom",44,44,46
"183","United States",89,89,95
"184","Uruguay",107,107,117
"185","Uzbekistan",108,108,118
"186","Vanuatu",175,175,192.5
"187","Venezuela, RB",100,100,107
"188","Vietnam",63,63,66
"189","Yemen, Rep.",175,175,192.5
"190","Zambia",130,130,141
"191","Zimbabwe",33,33,35
"192","Ethiopia",47,47,49
"193","Suriname",137,137,149
"194","Central African Republic",131,131,142.5
"195","Egypt, Arab Rep.",172,172,186.5
