"","CountryName","SL.UEM.NEET.ZS","rank.neet","SP.DYN.IMRT.IN","rank.imr","country.score"
"165","St. Vincent and the Grenadines",17.3627358490566,54,16.6,70,66
"166","Sudan",17.3627358490566,54,47.6,132,113
"167","Suriname",17.3627358490566,54,19,78,71
"168","Swaziland",17.3627358490566,54,44.5,128,109
"169","Sweden",7.16,16,2.4,7,6
"170","Switzerland",7.27,17,3.4,16,12
"171","Syrian Arab Republic",17.3627358490566,54,11.1,49,50
"172","Tajikistan",17.3627358490566,54,38.5,118,101
"173","Tanzania",31.8,90,35.2,112,126
"174","Thailand",13.81,45,10.5,46,42
"175","Timor-Leste",17.3627358490566,54,44.7,129,110
"176","Togo",9,21,52.3,136,90
"177","Tonga",17.3627358490566,54,14.4,66,62
"178","Trinidad and Tobago",52.52,98,18.2,75,102
"179","Tunisia",25.4,80,12.1,56,75
"180","Turkey",24.79,78,11.6,52,69
"181","Turkmenistan",17.3627358490566,54,43.7,127,108
"182","Tuvalu",17.3627358490566,54,22.8,87,78
"183","Uganda",5.91,13,37.7,116,68
"184","Ukraine",19.98,66,7.7,36,49
"185","United Arab Emirates",17.3627358490566,54,5.9,28,38
"186","United Kingdom",11.87,35,3.5,17,18
"187","United States",16.49,50,5.6,26,34
"188","Uruguay",20.51,69,8.7,41,55
"189","Uzbekistan",17.3627358490566,54,33.9,108,94
"190","Vanuatu",17.3627358490566,54,23.1,88,79
"191","Venezuela, RB",19.19,62,12.9,60,64
"192","Vietnam",9.34,23,17.3,72,45
"193","Yemen, Rep.",48.1,97,33.8,107,128
"194","Zambia",28.3,84,43.3,124,132
"195","Zimbabwe",17.3627358490566,54,46.6,131,112
