"","CountryName","CountryCode","Year","EG.ELC.ACCS.ZS","EG.FEC.RNEW.ZS","EG.USE.COMM.FO.ZS"
"597","Timor-Leste","TMP",2010,38,NA,NA
"598","Timor-Leste","TMP",2012,41.56256,NA,NA
"599","Togo","TGO",2010,27.9,65.84271,22.03571
"600","Togo","TGO",2011,NA,69.12701,19.90909
"601","Togo","TGO",2012,31.46256,72.71049,17.2181
"602","Tonga","TON",2010,92.3,1.00787,NA
"603","Tonga","TON",2011,NA,1.12682,NA
"604","Tonga","TON",2012,95.86256,NA,NA
"605","Trinidad and Tobago","TTO",2010,99,0.3361685,99.92964
"606","Trinidad and Tobago","TTO",2011,NA,0.3604339,99.92919
"607","Trinidad and Tobago","TTO",2012,99.8278,0.3241661,99.92797
"608","Tunisia","TUN",2010,99.5,14.26506,86.57641
"609","Tunisia","TUN",2011,NA,13.35062,87.90382
"610","Tunisia","TUN",2012,100,13.04791,88.14852
"611","Turkey","TUR",2010,100,14.35194,88.98584
"612","Turkey","TUR",2011,NA,12.79332,89.8978
"613","Turkey","TUR",2012,100,12.83503,89.36286
"614","Turkey","TUR",2013,NA,NA,87.93861
"615","Turkmenistan","TKM",2010,100,NA,NA
"616","Turkmenistan","TKM",2012,100,NA,NA
"617","Turks and Caicos Islands","TCA",2010,87.87328,0.5179989,NA
"618","Turks and Caicos Islands","TCA",2011,NA,0.5321654,NA
"619","Turks and Caicos Islands","TCA",2012,90.87544,NA,NA
"620","Tuvalu","TUV",2010,41,NA,NA
"621","Tuvalu","TUV",2012,44.56256,NA,NA
"622","Uganda","UGA",2010,14.6,91.09553,NA
"623","Uganda","UGA",2011,NA,90.33368,NA
"624","Uganda","UGA",2012,18.16256,NA,NA
"625","Ukraine","UKR",2010,99.8,2.880565,80.44958
"626","Ukraine","UKR",2011,NA,2.73301,79.55725
"627","Ukraine","UKR",2012,100,2.833571,79.28278
"628","United Arab Emirates","ARE",2010,94.1,0.1398008,99.90352
"629","United Arab Emirates","ARE",2011,NA,0.1419174,99.89937
"630","United Arab Emirates","ARE",2012,97.69783,0.133041,99.90525
"631","United Kingdom","GBR",2010,100,3.231318,88.27335
"632","United Kingdom","GBR",2011,NA,4.107319,85.61935
"633","United Kingdom","GBR",2012,100,4.350696,85.15753
"634","United Kingdom","GBR",2013,NA,NA,84.21871
"635","United States","USA",2010,100,7.478928,84.1445
"636","United States","USA",2011,NA,8.185443,83.68644
"637","United States","USA",2012,100,7.918396,83.70898
"638","United States","USA",2013,NA,NA,83.57217
"639","Uruguay","URY",2010,99,52.54295,50.11047
"640","Uruguay","URY",2011,NA,48.59397,56.15451
"641","Uruguay","URY",2012,99.5,46.37426,58.71622
"642","Uzbekistan","UZB",2010,100,2.636335,97.84427
"643","Uzbekistan","UZB",2011,NA,2.240147,98.14338
"644","Uzbekistan","UZB",2012,100,2.373916,98.01141
"645","Vanuatu","VUT",2010,23.5,39.14079,NA
"646","Vanuatu","VUT",2011,NA,34.1809,NA
"647","Vanuatu","VUT",2012,27.07681,NA,NA
"648","Venezuela, RB","VEN",2010,100,10.32401,90.2021
"649","Venezuela, RB","VEN",2011,NA,12.35626,88.69583
"650","Venezuela, RB","VEN",2012,100,11.19754,89.7246
"651","Vietnam","VNM",2010,96,34.7959,70.32818
"652","Vietnam","VNM",2011,NA,35.52947,69.51684
"653","Vietnam","VNM",2012,99,35.57924,69.4619
"654","Virgin Islands (U.S.)","VIR",2010,87.87328,NA,NA
"655","Virgin Islands (U.S.)","VIR",2012,90.87544,NA,NA
"656","Yemen, Rep.","YEM",2010,44.8,0.8364043,98.797
"657","Yemen, Rep.","YEM",2011,NA,0.9886307,98.51511
"658","Yemen, Rep.","YEM",2012,48.40671,1.000756,98.47997
"659","Zambia","ZMB",2010,18.5,91.80098,7.542276
"660","Zambia","ZMB",2011,NA,90.45502,8.602804
"661","Zambia","ZMB",2012,22.06256,88.15213,10.41109
"662","Zimbabwe","ZWE",2010,36.9,77.79536,26.69081
"663","Zimbabwe","ZWE",2011,NA,75.774,28.37219
"664","Zimbabwe","ZWE",2012,40.46256,75.60253,28.94682
