"","CountryName","CountryCode","Year","AG.LND.FRST.ZS","ER.PTD.TOTL.ZS"
"723","Swaziland","SWZ",2012,33.26744,3.018525
"724","Swaziland","SWZ",2013,33.53488,NA
"725","Sweden","SWE",2010,68.414,13.86844
"726","Sweden","SWE",2011,68.414,NA
"727","Sweden","SWE",2012,68.91786,13.87004
"728","Sweden","SWE",2013,68.91786,NA
"729","Switzerland","CHE",2010,31.25316,26.30409
"730","Switzerland","CHE",2011,31.34933,NA
"731","Switzerland","CHE",2012,31.44549,26.30409
"732","Switzerland","CHE",2013,31.54165,NA
"733","Syrian Arab Republic","SYR",2010,2.673855,0.6881376
"734","Syrian Arab Republic","SYR",2011,2.673855,NA
"735","Syrian Arab Republic","SYR",2012,2.673855,0.6881376
"736","Syrian Arab Republic","SYR",2013,2.673855,NA
"737","Tajikistan","TJK",2010,2.929408,4.773583
"738","Tajikistan","TJK",2011,2.932266,NA
"739","Tajikistan","TJK",2012,2.935124,4.773583
"740","Tajikistan","TJK",2013,2.937982,NA
"741","Tanzania","TZA",2010,54.09799,31.65852
"742","Tanzania","TZA",2011,53.67803,NA
"743","Tanzania","TZA",2012,53.25807,31.65852
"744","Tanzania","TZA",2013,52.83811,NA
"745","Thailand","THA",2010,31.80528,16.41182
"746","Thailand","THA",2011,31.864,NA
"747","Thailand","THA",2012,31.92272,16.41182
"748","Thailand","THA",2013,31.98144,NA
"749","Timor-Leste","TMP",2010,49.89913,6.249496
"750","Timor-Leste","TMP",2011,49.14593,NA
"751","Timor-Leste","TMP",2012,48.39274,6.249496
"752","Timor-Leste","TMP",2013,47.63954,NA
"753","Togo","TGO",2010,5.276705,24.22858
"754","Togo","TGO",2011,4.912668,NA
"755","Togo","TGO",2012,4.54863,24.19467
"756","Togo","TGO",2013,4.184593,NA
"757","Tonga","TON",2010,12.5,9.450139
"758","Tonga","TON",2011,12.5,NA
"759","Tonga","TON",2012,12.5,9.450139
"760","Tonga","TON",2013,12.5,NA
"761","Trinidad and Tobago","TTO",2010,44.13255,10.05872
"762","Trinidad and Tobago","TTO",2011,44.44834,NA
"763","Trinidad and Tobago","TTO",2012,44.76218,10.05872
"764","Trinidad and Tobago","TTO",2013,45.07797,NA
"765","Tunisia","TUN",2010,6.372297,4.436154
"766","Tunisia","TUN",2011,6.437951,NA
"767","Tunisia","TUN",2012,6.503605,4.823294
"768","Tunisia","TUN",2013,6.569258,NA
"769","Turkey","TUR",2010,14.55635,2.11205
"770","Turkey","TUR",2011,14.6894,NA
"771","Turkey","TUR",2012,14.82245,2.11205
"772","Turkey","TUR",2013,14.9555,NA
"773","Turkmenistan","TKM",2010,8.782159,3.176618
"774","Turkmenistan","TKM",2011,8.782159,NA
"775","Turkmenistan","TKM",2012,8.782159,3.176618
"776","Turkmenistan","TKM",2013,8.782159,NA
"777","Turks and Caicos Islands","TCA",2010,36.21053,3.581488
"778","Turks and Caicos Islands","TCA",2011,36.21053,NA
"779","Turks and Caicos Islands","TCA",2012,36.21053,3.581488
"780","Turks and Caicos Islands","TCA",2013,36.21053,NA
"781","Tuvalu","TUV",2010,33.33333,0.3313919
"782","Tuvalu","TUV",2011,33.33333,NA
"783","Tuvalu","TUV",2012,33.33333,0.3313919
"784","Tuvalu","TUV",2013,33.33333,NA
"785","Uganda","UGA",2010,13.7293,11.45253
"786","Uganda","UGA",2011,13.05506,NA
"787","Uganda","UGA",2012,12.38081,11.45253
"788","Uganda","UGA",2013,11.70656,NA
"789","Ukraine","UKR",2010,16.48139,4.492817
"790","Ukraine","UKR",2011,16.51902,NA
"791","Ukraine","UKR",2012,16.55665,4.492052
"792","Ukraine","UKR",2013,16.59428,NA
"793","United Arab Emirates","ARE",2010,3.795455,15.46823
"794","United Arab Emirates","ARE",2011,3.808134,NA
"795","United Arab Emirates","ARE",2012,3.820813,15.46823
"796","United Arab Emirates","ARE",2013,3.833493,NA
"797","United Kingdom","GBR",2010,12.64415,23.36952
"798","United Kingdom","GBR",2011,12.71442,NA
"799","United Kingdom","GBR",2012,12.78469,23.36955
"800","United Kingdom","GBR",2013,12.85496,NA
"801","United States","USA",2010,33.74941,15.13523
"802","United States","USA",2011,33.77947,NA
"803","United States","USA",2012,33.80953,15.13557
"804","United States","USA",2013,33.8396,NA
"805","Uruguay","URY",2010,9.892012,2.571988
"806","Uruguay","URY",2011,10.02194,NA
"807","Uruguay","URY",2012,10.15187,2.571988
"808","Uruguay","URY",2013,10.2818,NA
"809","Uzbekistan","UZB",2010,7.699812,3.354596
"810","Uzbekistan","UZB",2011,7.673672,NA
"811","Uzbekistan","UZB",2012,7.647532,3.354596
"812","Uzbekistan","UZB",2013,7.621392,NA
"813","Vanuatu","VUT",2010,36.09516,0.4533499
"814","Vanuatu","VUT",2011,36.09516,NA
"815","Vanuatu","VUT",2012,36.09516,0.4533499
"816","Vanuatu","VUT",2013,36.09516,NA
"817","Venezuela, RB","VEN",2010,53.85749,49.54117
"818","Venezuela, RB","VEN",2011,53.67111,NA
"819","Venezuela, RB","VEN",2012,53.48472,49.54117
"820","Venezuela, RB","VEN",2013,53.29834,NA
"821","Vietnam","VNM",2010,45.5639,4.707438
"822","Vietnam","VNM",2011,45.97994,NA
"823","Vietnam","VNM",2012,46.39598,4.718975
"824","Vietnam","VNM",2013,46.81201,NA
"825","Virgin Islands (U.S.)","VIR",2010,51.88571,2.784271
"826","Virgin Islands (U.S.)","VIR",2011,51.57143,NA
"827","Virgin Islands (U.S.)","VIR",2012,51.25714,2.784271
"828","Virgin Islands (U.S.)","VIR",2013,50.91429,NA
"829","Yemen, Rep.","YEM",2010,1.039832,1.127797
"830","Yemen, Rep.","YEM",2011,1.039832,NA
"831","Yemen, Rep.","YEM",2012,1.039832,1.127797
"832","Yemen, Rep.","YEM",2013,1.039832,NA
"833","Zambia","ZMB",2010,66.54381,37.7762
"834","Zambia","ZMB",2011,66.3197,NA
"835","Zambia","ZMB",2012,66.09559,37.7762
"836","Zambia","ZMB",2013,65.87148,NA
"837","Zimbabwe","ZWE",2010,40.38775,27.17258
"838","Zimbabwe","ZWE",2011,39.5802,NA
"839","Zimbabwe","ZWE",2012,38.77265,27.17258
"840","Zimbabwe","ZWE",2013,37.9651,NA
