"","CountryName","CountryCode","Year","SE.ADT.1524.LT.ZS","SE.ADT.LITR.ZS"
"1","Afghanistan","AFG",2011,46.99005,31.74112
"2","Albania","ALB",2011,98.79119,96.8453
"3","Albania","ALB",2012,99.2314,97.24696
"4","Angola","AGO",2013,72.98183,70.77841
"5","Antigua and Barbuda","ATG",2013,NA,98.95
"6","Argentina","ARG",2013,99.26105,97.97376
"7","Armenia","ARM",2011,99.8474,99.74442
"8","Aruba","ABW",2010,99.13841,96.82264
"9","Austria","AUT",2012,98.0055,NA
"10","Azerbaijan","AZE",2010,99.9506,99.77114
"11","Azerbaijan","AZE",2011,99.9441,99.77863
"12","Azerbaijan","AZE",2012,99.93675,99.77577
"13","Azerbaijan","AZE",2013,99.95247,99.78936
"14","Azerbaijan","AZE",2014,99.95699,99.78899
"15","Bahrain","BHR",2010,98.1636,94.55679
"16","Bangladesh","BGD",2013,81.07724,59.72154
"17","Bolivia","BOL",2011,99.00752,92.22614
"18","Bolivia","BOL",2012,98.99589,94.46056
"19","Bosnia and Herzegovina","BIH",2013,99.67234,98.26413
"20","Botswana","BWA",2013,97.58788,87.32057
"21","Brazil","BRA",2010,97.51412,90.37918
"22","Brazil","BRA",2011,98.48692,91.41125
"23","Brazil","BRA",2012,98.61965,91.33785
"24","Brazil","BRA",2013,98.73668,91.48424
"25","Brunei Darussalam","BRN",2011,99.36677,96.08556
"26","Bulgaria","BGR",2011,97.86505,98.35245
"27","Cabo Verde","CPV",2012,98.12897,85.32779
"28","Cameroon","CMR",2010,80.57444,71.2905
"29","Caribbean small states","CSS",2010,95.98971,91.69633
"30","Central African Republic","CAF",2010,36.35627,36.75261
"31","Chad","TCD",2013,50.16629,38.23194
"32","Chile","CHL",2011,99.40819,96.70301
"33","China","CHN",2010,99.64229,95.12447
"34","Colombia","COL",2010,98.09842,93.37233
"35","Colombia","COL",2011,98.23937,93.58054
"36","Comoros","COM",2013,86.80808,76.55346
"37","Congo, Dem. Rep.","ZAR",2012,83.59755,75.0172
"38","Congo, Rep.","COG",2011,80.91395,79.31117
"39","Costa Rica","CRI",2011,99.13371,97.40659
"40","Cote d'Ivoire","CIV",2012,48.30996,40.98163
"41","Croatia","HRV",2011,99.72363,99.12536
"42","Cuba","CUB",2012,99.87466,99.75253
"43","Cyprus","CYP",2011,99.82098,98.67843
"44","Dominican Republic","DOM",2010,96.80575,89.53873
"45","Dominican Republic","DOM",2011,97.04191,90.10627
"46","Dominican Republic","DOM",2012,97.02389,90.15518
"47","Dominican Republic","DOM",2013,97.47243,90.85815
"48","Ecuador","ECU",2010,98.6527,91.85404
"49","Ecuador","ECU",2011,98.69484,91.5869
"50","Ecuador","ECU",2012,98.83163,92.06474
"51","Ecuador","ECU",2013,98.60464,93.29462
