"","X1","CountryName","finalscore_child","finalrank_comm","finalrank_diversity","finalrank_edu","finalrank_emission","finalrank_empl","finalrank_eng","finalrank_env","finalrank_deficit","finalrank_gen","finalrank_GDP","finalrank_pop","finalscore_security","finalrank_tourism","finalrank_hpi","finalrank_neg","finalrank_pos","ourindex","finalindex","region","sub.region"
"146",146,"Suriname",70,83.5,85.6785714285714,57.5,120,124,150,18,35,147,85.6785714285714,102,93,85.6785714285714,31.5,76,92,85.6785714285714,105,"Americas","South America"
"147",147,"Swaziland",109,148.5,115,85,57,115.3125,170,148.5,76,170,149,203,110,13,89,77,125,115.3125,168,"Africa","Southern Africa"
"148",148,"Sweden",6,17,128,34.3,137,17,4,30.5,34.3,5,5,4,13,3,4,14,127,34.3,1,"Europe","Northern Europe"
"149",149,"Switzerland",12,11.5,63,39,131,36,41,53.5,39,43,3,28,8,8,1,25,121,39,2,"Europe","Western Europe"
"150",150,"Syria",50,152,62,82,106.192307692308,106.192307692308,155.5,193,106.192307692308,142,106.192307692308,164,40,48,139,152,1,106.192307692308,158,"Asia","Western Asia"
"151",151,"Tajikistan",102,144,76,7,36,80.125,2,182,85,97,87,171.5,30,101,93.5,21,47,80.125,85,"Asia","Central Asia"
"152",152,"Tanzania",127,184,2,91.5,18,117,28,9.5,87,26,107,89.5,86,75.21875,125,27,79,75.21875,67.5,"Africa","Middle Africa"
"153",153,"Thailand",42,93,92,64,127,96,60,77,31,172,32,85,71,71,28,7,144,76,71,"Asia","South-Eastern Asia"
"154",154,"Timor-Leste",110,194,110.791666666667,109,20,107,211,85.5,78,18,148,189,60,110.791666666667,110.791666666667,110.791666666667,110.791666666667,110.791666666667,163,"Asia","South-Eastern Asia"
"155",155,"Togo",88,187.5,7,107,29,93.6,38,113.5,54,102,133,160,91,93.6,140,149,5,93.6,125,"Africa","Western Africa"
"156",156,"Trinidad and Tobago",103,37,50,21,201,51,162,74.5,38,47,95,205.5,114,57,28,39,134,85.7058823529412,106,"Americas","Caribbean"
"157",157,"Tunisia",74,87,74,83,100,61,84,179,2,37,113.5,52,53,56,108.5,77.6,77.6,77.6,73,"Africa","Northern Africa"
"158",158,"Turkey",68,118,113,44,122,71,85,176.5,1,123,53,70.5,64,69,69.5,79.03125,17,79.03125,81,"Asia","Western Asia"
"159",159,"Turkmenistan",108,136,96,14,183,97.8076923076923,205,183,13,59,97.8076923076923,144.5,97.8076923076923,97.8076923076923,64,16,50,97.8076923076923,137,"Asia","Central Asia"
"160",160,"Uganda",67,172.5,4,100,13,113,152,134,73,28,145,169.5,96,98,112.5,113,55,96.7941176470588,134,"Africa","Eastern Africa"
"161",161,"Ukraine",49,79.5,94,15,149,40,101.5,161.5,77.65625,146,113.5,46,61,34,77.5,53,22,77.65625,75,"Europe","Eastern Europe"
"162",162,"United Arab Emirates",38,5,33,81.1363636363636,196,81.1363636363636,168.5,135.5,14,103,40.5,152,7,81.1363636363636,81.1363636363636,81.1363636363636,81.1363636363636,81.1363636363637,89,"Asia","Western Asia"
